"","Individual","Treatment","Disease","batch","X","geo_sample"
"IonXpress_013_03042019","HGPS 169","DMSO","HGPS","03042019","IonXpress_013_03042019","HGPS 169_DMSO_1"
"IonXpress_014_03042019","HGPS 169","UMK57","HGPS","03042019","IonXpress_014_03042019","HGPS 169_UMK57_1"
"IonXpress_007_21012022","HGPS 169","DMSO","HGPS","21012022","IonXpress_007_21012022","HGPS 169_DMSO_2"
"IonXpress_014_21012022","HGPS 169","UMK57","HGPS","21012022","IonXpress_014_21012022","HGPS 169_UMK57_2"
"IonXpress_005_27012022","HGPS 169","DMSO","HGPS","27012022","IonXpress_005_27012022","HGPS 169_DMSO_3"
"IonXpress_006_27012022","HGPS 169","UMK57","HGPS","27012022","IonXpress_006_27012022","HGPS 169_UMK57_3"
"IonXpress_013_27012022","HGPS 169","DMSO","HGPS","27012022","IonXpress_013_27012022","HGPS 169_DMSO_4"
"IonXpress_014_27012022","HGPS 169","UMK57","HGPS","27012022","IonXpress_014_27012022","HGPS 169_UMK57_4"
"IonXpress_007_03042019","NEO","DMSO","Healthy","03042019","IonXpress_007_03042019","NEO_DMSO_1"
"IonXpress_008_03042019","NEO","DMSO","Healthy","03042019","IonXpress_008_03042019","NEO_DMSO_2"
"IonXpress_092_22082022","5y_DS","DMSO","DS","22082022","IonXpress_092_22082022","5y_DS_DMSO_1"
"IonXpress_096_22082022","5y_DS","DMSO","DS","22082022","IonXpress_096_22082022","5y_DS_DMSO_2"
"IonXpress_090_22082022","14y_DS","DMSO","DS","22082022","IonXpress_090_22082022","14y_DS_DMSO_1"
"IonXpress_094_22082022","14y_DS","DMSO","DS","22082022","IonXpress_094_22082022","14y_DS_DMSO_2"
"IonXpress_091_22082022","5y_DS","UMK57","DS","22082022","IonXpress_091_22082022","5y_DS_UMK57_1"
"IonXpress_095_22082022","5y_DS","UMK57","DS","22082022","IonXpress_095_22082022","5y_DS_UMK57_2"
"IonXpress_089_22082022","14y_DS","UMK57","DS","22082022","IonXpress_089_22082022","14y_DS_UMK57_1"
"IonXpress_093_22082022","14y_DS","UMK57","DS","22082022","IonXpress_093_22082022","14y_DS_UMK57_2"
